Mesocosm,shaded,week,compartment,N
2,FALSE,0,I1,5
2,FALSE,0,IV1,3
2,FALSE,0,IV2,2
2,FALSE,0,S,5
2,FALSE,0,SV,5
2,FALSE,1,I1,3
2,FALSE,1,I3,2
2,FALSE,1,IV1,2
2,FALSE,1,IV2,2
2,FALSE,1,S,5
2,FALSE,1,SV,3
2,FALSE,2,I1,3
2,FALSE,2,I2,3
2,FALSE,2,IV1,2
2,FALSE,2,IV2,4
2,FALSE,2,S,2
2,FALSE,2,SV,3
2,FALSE,4,I1,2
2,FALSE,4,I2,3
2,FALSE,4,I3,1
2,FALSE,4,IV1,3
2,FALSE,4,IV2,4
2,FALSE,4,IV3,2
2,FALSE,4,S,1
2,FALSE,6,I1,1
2,FALSE,6,I2,5
2,FALSE,6,I3,2
2,FALSE,6,IV1,3
2,FALSE,6,IV2,5
2,FALSE,6,IV3,1
2,FALSE,8,I2,1
2,FALSE,8,I3,6
2,FALSE,8,IV2,2
2,FALSE,8,SV,8
2,FALSE,10,I3,2
2,FALSE,10,IV1,4
2,FALSE,10,IV2,1
2,FALSE,10,IV3,2
2,FALSE,10,SV,8
2,FALSE,15,IV1,1
2,FALSE,15,IV3,2
2,FALSE,15,SV,13
3,TRUE,0,I1,5
3,TRUE,0,IV1,4
3,TRUE,0,IV2,1
3,TRUE,0,S,5
3,TRUE,0,SV,5
3,TRUE,1,I1,2
3,TRUE,1,I2,2
3,TRUE,1,I3,1
3,TRUE,1,IV2,2
3,TRUE,1,IV3,1
3,TRUE,1,S,3
3,TRUE,1,SV,6
3,TRUE,2,I1,4
3,TRUE,2,I2,3
3,TRUE,2,IV1,4
3,TRUE,2,IV2,5
3,TRUE,2,SV,1
3,TRUE,4,I1,2
3,TRUE,4,I2,4
3,TRUE,4,I3,1
3,TRUE,4,IV1,1
3,TRUE,4,IV2,6
3,TRUE,4,IV3,2
3,TRUE,6,I2,3
3,TRUE,6,IV2,9
3,TRUE,6,IV3,1
3,TRUE,8,I2,2
3,TRUE,8,I3,1
3,TRUE,8,IV2,6
3,TRUE,8,IV3,2
3,TRUE,10,I3,2
3,TRUE,10,IV2,2
3,TRUE,10,IV3,3
3,TRUE,10,SV,3
3,TRUE,15,IV3,1
3,TRUE,15,SV,10
5,TRUE,0,I1,5
5,TRUE,0,IV1,5
5,TRUE,0,S,5
5,TRUE,0,SV,5
5,TRUE,1,I1,3
5,TRUE,1,IV1,2
5,TRUE,1,IV2,2
5,TRUE,1,IV3,1
5,TRUE,1,S,4
5,TRUE,1,SV,5
5,TRUE,2,I1,6
5,TRUE,2,I2,2
5,TRUE,2,IV1,3
5,TRUE,2,IV2,3
5,TRUE,2,S,2
5,TRUE,2,SV,3
5,TRUE,4,I1,5
5,TRUE,4,I2,4
5,TRUE,4,I3,1
5,TRUE,4,IV1,2
5,TRUE,4,IV2,5
5,TRUE,4,IV3,2
5,TRUE,4,SV,1
5,TRUE,6,I1,2
5,TRUE,6,I2,4
5,TRUE,6,IV2,7
5,TRUE,6,IV3,3
5,TRUE,6,SV,1
5,TRUE,8,I1,1
5,TRUE,8,I3,7
5,TRUE,8,IV2,3
5,TRUE,8,IV3,4
5,TRUE,8,SV,3
5,TRUE,10,I3,4
5,TRUE,10,IV1,3
5,TRUE,10,IV2,2
5,TRUE,10,IV3,2
5,TRUE,10,SV,5
5,TRUE,15,I3,1
5,TRUE,15,IV3,4
5,TRUE,15,SV,12
6,FALSE,0,I1,5
6,FALSE,0,IV1,2
6,FALSE,0,IV2,3
6,FALSE,0,S,5
6,FALSE,0,SV,5
6,FALSE,1,I1,5
6,FALSE,1,IV1,1
6,FALSE,1,IV2,4
6,FALSE,1,IV3,1
6,FALSE,1,S,3
6,FALSE,1,SV,3
6,FALSE,2,I1,3
6,FALSE,2,I2,3
6,FALSE,2,IV1,1
6,FALSE,2,IV2,5
6,FALSE,2,S,1
6,FALSE,2,SV,3
6,FALSE,4,I1,3
6,FALSE,4,I2,3
6,FALSE,4,IV1,2
6,FALSE,4,IV2,4
6,FALSE,4,IV3,3
6,FALSE,6,I2,2
6,FALSE,6,I3,2
6,FALSE,6,IV2,4
6,FALSE,6,IV3,5
6,FALSE,8,I2,1
6,FALSE,8,I3,1
6,FALSE,8,IV2,2
6,FALSE,8,IV3,3
6,FALSE,8,SV,3
6,FALSE,10,I3,1
6,FALSE,10,IV1,3
6,FALSE,10,SV,7
6,FALSE,15,IV1,1
6,FALSE,15,SV,8
8,FALSE,0,I1,5
8,FALSE,0,IV1,5
8,FALSE,0,S,5
8,FALSE,0,SV,5
8,FALSE,1,I1,5
8,FALSE,1,IV1,2
8,FALSE,1,IV3,2
8,FALSE,1,S,5
8,FALSE,1,SV,5
8,FALSE,2,I1,1
8,FALSE,2,I2,3
8,FALSE,2,IV1,1
8,FALSE,2,IV2,3
8,FALSE,2,IV3,1
8,FALSE,2,S,5
8,FALSE,2,SV,4
8,FALSE,4,I1,5
8,FALSE,4,I2,3
8,FALSE,4,I3,1
8,FALSE,4,IV1,4
8,FALSE,4,IV2,2
8,FALSE,4,IV3,2
8,FALSE,4,SV,1
8,FALSE,6,I1,2
8,FALSE,6,I2,3
8,FALSE,6,I3,2
8,FALSE,6,IV1,3
8,FALSE,6,IV2,3
8,FALSE,6,IV3,1
8,FALSE,6,SV,2
8,FALSE,8,I2,1
8,FALSE,8,I3,5
8,FALSE,8,IV1,1
8,FALSE,8,IV3,6
8,FALSE,8,SV,3
8,FALSE,10,I3,4
8,FALSE,10,IV1,6
8,FALSE,10,IV3,2
8,FALSE,10,SV,4
8,FALSE,15,IV1,1
8,FALSE,15,SV,16
9,TRUE,0,I1,5
9,TRUE,0,IV1,5
9,TRUE,0,S,5
9,TRUE,0,SV,5
9,TRUE,1,I1,5
9,TRUE,1,I3,1
9,TRUE,1,IV2,1
9,TRUE,1,IV3,1
9,TRUE,1,S,4
9,TRUE,1,SV,8
9,TRUE,2,I1,1
9,TRUE,2,I2,1
9,TRUE,2,I3,1
9,TRUE,2,IV2,3
9,TRUE,2,IV3,1
9,TRUE,2,S,3
9,TRUE,2,SV,7
9,TRUE,4,I1,3
9,TRUE,4,I2,2
9,TRUE,4,IV1,3
9,TRUE,4,IV2,3
9,TRUE,4,IV3,2
9,TRUE,4,S,1
9,TRUE,4,SV,3
9,TRUE,6,I1,2
9,TRUE,6,I2,2
9,TRUE,6,I3,1
9,TRUE,6,IV1,3
9,TRUE,6,IV2,8
9,TRUE,8,I1,1
9,TRUE,8,I2,2
9,TRUE,8,I3,2
9,TRUE,8,IV1,1
9,TRUE,8,IV2,5
9,TRUE,8,IV3,6
9,TRUE,10,I3,3
9,TRUE,10,IV2,4
9,TRUE,10,IV3,3
9,TRUE,10,SV,7
9,TRUE,15,I3,1
9,TRUE,15,IV1,1
9,TRUE,15,IV3,2
9,TRUE,15,SV,13
11,TRUE,0,I1,5
11,TRUE,0,IV1,5
11,TRUE,0,S,5
11,TRUE,0,SV,5
11,TRUE,1,I1,1
11,TRUE,1,I3,2
11,TRUE,1,IV2,1
11,TRUE,1,IV3,1
11,TRUE,1,S,2
11,TRUE,1,SV,5
11,TRUE,2,I2,1
11,TRUE,2,IV1,2
11,TRUE,2,IV2,3
11,TRUE,2,S,2
11,TRUE,2,SV,4
11,TRUE,4,I1,1
11,TRUE,4,I2,1
11,TRUE,4,IV1,2
11,TRUE,4,IV2,4
11,TRUE,4,IV3,2
11,TRUE,4,S,1
11,TRUE,4,SV,1
11,TRUE,6,I1,2
11,TRUE,6,I2,1
11,TRUE,6,IV1,4
11,TRUE,6,IV2,4
11,TRUE,8,I1,1
11,TRUE,8,I3,2
11,TRUE,8,IV1,1
11,TRUE,8,IV2,4
11,TRUE,8,IV3,2
11,TRUE,10,I3,3
11,TRUE,10,IV1,2
11,TRUE,10,IV2,2
11,TRUE,10,IV3,3
11,TRUE,10,SV,2
11,TRUE,15,I3,1
11,TRUE,15,SV,11
12,FALSE,0,I1,5
12,FALSE,0,IV1,5
12,FALSE,0,S,5
12,FALSE,0,SV,5
12,FALSE,1,I1,4
12,FALSE,1,I3,1
12,FALSE,1,IV1,1
12,FALSE,1,IV3,2
12,FALSE,1,S,4
12,FALSE,1,SV,8
12,FALSE,2,I1,2
12,FALSE,2,I2,1
12,FALSE,2,IV1,3
12,FALSE,2,IV2,1
12,FALSE,2,IV3,1
12,FALSE,2,S,3
12,FALSE,2,SV,8
12,FALSE,4,I1,1
12,FALSE,4,I2,1
12,FALSE,4,I3,1
12,FALSE,4,IV1,3
12,FALSE,4,IV2,4
12,FALSE,4,S,2
12,FALSE,4,SV,6
12,FALSE,6,I1,2
12,FALSE,6,I3,1
12,FALSE,6,IV1,3
12,FALSE,6,IV2,4
12,FALSE,6,IV3,3
12,FALSE,6,S,1
12,FALSE,6,SV,4
12,FALSE,8,I1,2
12,FALSE,8,IV1,4
12,FALSE,8,IV3,3
12,FALSE,8,SV,9
12,FALSE,10,I1,1
12,FALSE,10,IV1,4
12,FALSE,10,IV2,1
12,FALSE,10,IV3,1
12,FALSE,10,SV,10
12,FALSE,15,IV3,1
12,FALSE,15,SV,16
